"NAME","EYE","ALIVE","APPEARANCES","FIRST APPEARANCE","HAIR","SEX","ALIGN","ID","SECRET"
"John Henry Irons","Brown Eyes","Living Characters","345","1993, June","","Male Characters","Good Characters","Public Identity","8086b51a-7039-4590-8e1a-9cc9eb64a208"
"Jefferson Pierce","Brown Eyes","Living Characters","344","1977, April","","Male Characters","Good Characters","Secret Identity","f76e3a9a-2e64-4674-8b28-a06b74973fe3"
"Slade Wilson","Blue Eyes","Living Characters","336","1980, December","White Hair","Male Characters","Neutral Characters","Secret Identity","ad3142e7-f357-4e0a-86bb-8d467f847541"
"Phantom Stranger","Black Eyes","Living Characters","335","1952, September","Black Hair","Male Characters","","Secret Identity","e9487ba9-85f0-4a58-a0b4-46a381a7ca8b"
"Beatriz da Costa","Green Eyes","Living Characters","325","1982, June","Green Hair","Female Characters","Good Characters","Secret Identity","babfc326-b744-4c43-9d12-cc9aa95f1580"
"William Batson","Blue Eyes","Living Characters","321","1940, February","Black Hair","Male Characters","Good Characters","Secret Identity","36eb983f-fb03-4b85-b7e5-33417543cf01"
"Carol Ferris","Blue Eyes","Living Characters","319","1959, October","Black Hair","Female Characters","Neutral Characters","Public Identity","56201f6e-0353-435e-9ec5-fc774b9285d5"
"Clifford Steele","Photocellular Eyes","Living Characters","314","1963, June","","Male Characters","","Public Identity","b9cf449c-310a-4cab-9ef4-88c5b04e8e87"
"Etrigan","Red Eyes","Living Characters","311","1972, September","","Male Characters","Neutral Characters","Public Identity","722ce862-1f95-46c0-b1ff-41675f7fe6d7"
"Jennifer-Lynn Hayden","Green Eyes","Living Characters","309","1983, September","Green Hair","Female Characters","Good Characters","Secret Identity","6e710b13-c42a-4579-8336-1b9f47792f34"
"Swamp Thing","Red Eyes","Living Characters","309","1972, November","","Male Characters","Good Characters","Public Identity","c7d5b344-30be-4b59-b780-942f51981773"
"Renee Montoya","Brown Eyes","Living Characters","308","1992, March","Black Hair","Female Characters","Good Characters","Secret Identity","c2179de6-ec92-4b38-8b0b-fb94e3be385d"
"Harvey Dent","Blue Eyes","Living Characters","306","1942, August","Brown Hair","Male Characters","Bad Characters","Public Identity","d6bd9584-1bae-45a1-843c-eca7a4e7d163"
"Courtney Whitmore","Blue Eyes","Living Characters","305","1999, July","Blond Hair","Female Characters","Good Characters","Secret Identity","feeb661b-24be-492d-97e7-773a230427bc"
"Kendra Saunders","Hazel Eyes","Deceased Characters","301","1999, August","Brown Hair","Female Characters","Good Characters","Secret Identity","b587b5f1-4877-41da-a3d9-43e79510812b"
"Michael Holt","Brown Eyes","Living Characters","300","1997, June","Black Hair","Male Characters","","Secret Identity","62f45733-e259-4a2d-b075-c5b0d76f59d1"
"Kilowog","Red Eyes","Living Characters","299","1986, June","","Male Characters","Good Characters","Public Identity","18aa279e-4bda-4eaf-80bd-7af8a42f91a6"
"Kara Zor-El","Blue Eyes","Living Characters","297","2004, May","Blond Hair","Female Characters","Good Characters","Secret Identity","5ead4518-ed8c-4b94-8a47-581c360827b4"
"Jonah Hex","Blue Eyes","Deceased Characters","291","1972, March","Blond Hair","Male Characters","Good Characters","Public Identity","c2efe2e5-bebf-4bf0-9b17-506c722bc5b7"
"Rex Tyler","Blue Eyes","Living Characters","288","1940, March","Brown Hair","Male Characters","Good Characters","Secret Identity","03c06930-f928-40f5-a80e-74c59e593a71"
"Pamela Isley","Green Eyes","Living Characters","286","1966, June","Red Hair","Female Characters","Neutral Characters","Secret Identity","d5e40176-c0ec-4495-909b-1d6003178ca7"
"Pieter Cross","Blue Eyes","Living Characters","284","1999, February","Black Hair","Male Characters","Good Characters","Secret Identity","5e646b0c-c0c4-4496-9830-152e163ed641"
"Jonathan L. Thunder","Blue Eyes","Living Characters","282","1940, January","Blond Hair","Male Characters","Good Characters","Secret Identity","d2f279a6-e885-439a-a504-17b1bf7b8aa0"
"Mari McCabe","Amber Eyes","Living Characters","268","1981, July","Brown Hair","Female Characters","Good Characters","Secret Identity","0e1a3d1b-b478-42e7-8a39-a01d1d93dd2a"
"Scott Free","Blue Eyes","Living Characters","268","1971, April","Black Hair","Male Characters","Good Characters","Secret Identity","c154ba52-defa-4dfd-94ac-bba39c714e89"
"Martha Clark","Blue Eyes","Living Characters","266","1986, October","White Hair","Female Characters","Good Characters","Public Identity","1068f6e2-0205-41f3-ba8a-55d10257b67d"
"Boston Brand","Blue Eyes","Deceased Characters","262","1967, October","","Male Characters","Good Characters","Secret Identity","8af9cccf-fed8-421c-bbd7-453efa6020d5"
"Daniel Turpin","Brown Eyes","Deceased Characters","261","1942, June","Brown Hair","Male Characters","","Public Identity","410da85b-33de-429f-af4e-e4dd11ecf195"
"John Zatara","Blue Eyes","Deceased Characters","256","1938, June","Black Hair","Male Characters","Good Characters","Secret Identity","f5357bb2-6624-41f9-b4b3-fc08d30823c1"
"Jonathan Kent","Blue Eyes","Deceased Characters","254","1986, October","White Hair","Male Characters","Good Characters","Public Identity","e5dfba4c-2a0d-42fb-8f58-bffe0b6646ff"
"Oswald Cobblepot","Blue Eyes","Living Characters","253","1941, December","Black Hair","Male Characters","","Public Identity","4af039d2-65da-451d-9ea7-558f42410273"
"Tatsu Yamashiro","Brown Eyes","Living Characters","252","1983, July","Black Hair","Female Characters","Good Characters","Secret Identity","fcdaad53-5094-4c93-a303-10ad95fc2f84"
"Lawrence Trainor","Blue Eyes","Living Characters","250","1963, June","Blond Hair","Male Characters","Good Characters","Secret Identity","c45a43cd-23d0-408c-936c-22a394e063c8"
"Albert Rothstein","Blue Eyes","Living Characters","245","1983, September","","Male Characters","Good Characters","Secret Identity","5dfe6759-1ac5-4d4f-b175-2cb78a7c80c2"
"Brion Markov","Green Eyes","Living Characters","245","1983, July","Strawberry Blond Hair","Male Characters","Good Characters","Secret Identity","a0587553-5ead-433d-aab3-873d94c68723"
"Sanderson Hawkins","Blue Eyes","Living Characters","241","1941, December","Blond Hair","Male Characters","Good Characters","Secret Identity","04209f0b-d1d1-41d4-990c-144d9bc4786e"
"Jonathan Chambers","Blue Eyes","Deceased Characters","239","1941, September","Blond Hair","Male Characters","Good Characters","Secret Identity","ae393c06-5aa8-4101-8c7d-1f07ec407427"
"Orion","Blue Eyes","Deceased Characters","237","1971, March","Strawberry Blond Hair","Male Characters","Good Characters","Public Identity","3cd37584-7c58-4d70-9f68-ac0388c4693c"
"Thaal Sinestro","Yellow Eyes","Living Characters","237","1961, August","Black Hair","Male Characters","Neutral Characters","Public Identity","d210cd9b-6a09-49f1-829e-7873e2df1379"
"Cassandra Cain","Brown Eyes","Living Characters","235","1999, July","Black Hair","Female Characters","Good Characters","Secret Identity","6ee2708e-980b-4425-a387-edba95e4c6ee"
"Jason Todd","Blue Eyes","Living Characters","235","1987, June","Black Hair","Male Characters","Neutral Characters","Secret Identity","328ecc5b-0959-4920-ad05-32346944ed3e"
"Susan Dearbon","","Deceased Characters","235","1961, March","Black Hair","Female Characters","Good Characters","Public Identity","c349730b-482e-4de0-a6ab-f137b7efc8a7"
"Jean-Paul Valley","Blue Eyes","Deceased Characters","234","1992, October","Blond Hair","Male Characters","Good Characters","Secret Identity","6fea5918-e71e-43b6-af35-1b381993c236"
"Hippolyta","Blue Eyes","Living Characters","231","1987, February","Black Hair","Female Characters","Good Characters","Public Identity","44b306dc-95ad-42d6-8380-8afdefa2ebf8"
"Joseph Wilson","Green Eyes","Living Characters","229","1984, May","Blond Hair","Male Characters","Neutral Characters","Secret Identity","c886982a-85de-4221-a28f-6616b32edadc"
"Bernhard Baker","Blue Eyes","Living Characters","229","1965, September","Blond Hair","Male Characters","Good Characters","Secret Identity","c96a2cd9-88f0-4b41-92e7-f52a2f83a67c"
"Sylvester Pemberton","Blue Eyes","Deceased Characters","229","1941, October","Black Hair","Male Characters","Good Characters","Secret Identity","1e690e93-1a37-44f8-91ec-a82cd0094b49"
"Jesse Chambers","Blue Eyes","Living Characters","228","1992, August","Blond Hair","Female Characters","Good Characters","Public Identity","a1b49e56-f550-4913-8ed3-b8de4de2e2b3"
"Floyd Lawton","Blue Eyes","Living Characters","227","1950, June","Brown Hair","Male Characters","Neutral Characters","Secret Identity","23bb691d-d608-459a-b485-704dc0b73e65"
"Mera","Blue Eyes","Living Characters","226","1963, October","Red Hair","Female Characters","","Public Identity","8782f16f-7efc-4e75-9894-1f10371bc8ee"
"Tora Olafsdotter","Blue Eyes","Living Characters","225","1988, April","White Hair","Female Characters","Good Characters","Public Identity","2904ccfe-6807-4c85-b4e5-4778eaa7f7ad"
"George Harkness","Brown Eyes","Living Characters","224","1960, December","Brown Hair","Male Characters","","Secret Identity","e6d1d7a2-6869-467e-9c98-1c32fa353ddd"
"Amanda Waller","Brown Eyes","Living Characters","222","1986, November","Black Hair","Female Characters","Good Characters","Public Identity","9cb4b5f6-8599-4b3f-b5c2-21f60a0b073a"
"Jonathan Crane","Blue Eyes","Living Characters","222","1941, September","Brown Hair","Male Characters","Bad Characters","Public Identity","8c9fcb60-fc8f-46b4-8e87-bf04692d381d"
"Leonard Snart","Brown Eyes","Living Characters","219","1957, June","Brown Hair","Male Characters","","Secret Identity","fd3a5e5e-72a1-452b-bf4b-db2733e99966"
"Shiera Sanders","Brown Eyes","Living Characters","219","1940, January","Red Hair","Female Characters","Good Characters","Secret Identity","5e25f42d-f091-446a-8a7e-37fe3517fe8e"
"Maxwell Lord IV","Black Eyes","Living Characters","218","1987, May","Brown Hair","Male Characters","Neutral Characters","Public Identity","536c48e2-5e70-49ea-a618-0cbe5e74a6ea"
"Jeb Stuart","Blue Eyes","Living Characters","218","1961, May","Brown Hair","Male Characters","Good Characters","Public Identity","a3a32bdc-a908-42fa-895c-1f578640bd99"
"Damian Wayne","Blue Eyes","Deceased Characters","216","1987, September","Black Hair","Male Characters","Good Characters","Secret Identity","9ea5f5d4-be75-4f5e-ac7c-a86de7cdbdfa"
"Big Barda","Blue Eyes","Deceased Characters","216","1971, October","Black Hair","Female Characters","Good Characters","Secret Identity","f32c3440-5845-4ee2-86ef-94966be40f1c"
"Niles Caulder","Blue Eyes","Living Characters","214","1963, June","Grey Hair","Male Characters","Good Characters","Public Identity","9ecdf2bc-792e-4e5a-aee3-04fb8fb3731b"
"James Corrigan","Blue Eyes","Deceased Characters","214","1940, February","Red Hair","Male Characters","Good Characters","Secret Identity","fc3aceef-bcba-4732-b04a-ac4bf5f08122"
"Samuel Bradley","Grey Eyes","Living Characters","213","1937, March","Grey Hair","Male Characters","Good Characters","Public Identity","0833a4b3-3724-4df4-aef6-be12e3e60873"
"Richard Tyler","Brown Eyes","Living Characters","212","1985, November","Brown Hair","Male Characters","Good Characters","Public Identity","c380ce08-c0e7-47ee-ba9c-b9de13509be3"
"James Ewell Brown Stuart","","Deceased Characters","212","1961, May","Brown Hair","Male Characters","Good Characters","Public Identity","237d8784-ef6d-41b3-9cf6-d102dddf63b9"
"Todd Rice","Brown Eyes","Living Characters","208","1983, September","Brown Hair","Male Characters","Good Characters","Public Identity","90bdd173-587a-4259-8410-09b2bf0bb2c1"
"Yz","Red Eyes","Living Characters","207","1940, January","","Male Characters","Good Characters","Secret Identity","aea559b8-e6e9-4332-af51-29b21f2cc9c0"
"Matrix","Blue Eyes","Living Characters","206","1988, April","Blond Hair","Female Characters","Good Characters","Public Identity","f298795c-6156-4412-b013-9e053f8fa837"
"Wolfgang Winks","","Living Characters","206","1942, November","Black Hair","Male Characters","Good Characters","Public Identity","ebe96aba-e526-452d-844f-8a06a8f721ec"
"William Glenmorgan","Blue Eyes","Deceased Characters","199","1940, June","Black Hair","Male Characters","Good Characters","Public Identity","c9ce5fe7-cfe5-4952-82ef-dfe1b735171d"
"Stephanie Brown","Blue Eyes","Living Characters","198","1992, August","Blond Hair","Female Characters","Good Characters","Secret Identity","96753cf3-267f-4a1f-ab82-f12550bda9f0"
"Raymond Terrill","Green Eyes","Living Characters","192","1992, February","Red Hair","Male Characters","Good Characters","Secret Identity","a3b931c0-171a-48a5-9331-eb898ee07230"
"Adam Blake","Hazel Eyes","Living Characters","191","1951, June","Brown Hair","Male Characters","Good Characters","Public Identity","59b48fff-2fbb-4ddd-ae3a-589eb8e133e3"
"Kimiyo Hoshi","Black Eyes","Living Characters","189","1985, July","Black Hair","Female Characters","","Secret Identity","0d7e7828-54f0-4d84-a077-4a869525ef04"
"Jack Ryder","Blue Eyes","Living Characters","188","1968, April","Black Hair","Male Characters","Good Characters","Secret Identity","19461598-2620-4e1b-b861-bca79642e650"
"Vandar Adg","Brown Eyes","Living Characters","188","1943, December","Black Hair","Male Characters","","Public Identity","ffaefad3-a74b-48e1-ba4e-3f410ef0f654"
"Justin Arthur","Blue Eyes","Living Characters","184","1941, September","Blond Hair","Male Characters","Good Characters","Secret Identity","ffbba07a-f307-4d0c-acd0-4579fa381715"
"Max Mercury","Blue Eyes","Living Characters","183","1940, November","Grey Hair","Male Characters","Good Characters","Secret Identity","35dc97b7-6a63-4c4c-afc7-595820b02c3c"
"Abigail Arcane","Blue Eyes","Living Characters","182","1973, January","White Hair","Female Characters","Good Characters","Public Identity","706dd108-5d7c-46f0-af15-d4670cb32c9b"
"Thomas Haukins","Blue Eyes","Deceased Characters","181","1947, June","Blond Hair","Male Characters","Good Characters","Secret Identity","af0da88a-effe-4e2b-a5fb-59f43d0a1fb2"
"Margaret Sawyer","Blue Eyes","Living Characters","180","1987, April","","Female Characters","","Public Identity","59afe45b-87b1-48c3-a547-f316766a2ccf"
"Waylon Jones","Red Eyes","Living Characters","180","1983, March","","Male Characters","Bad Characters","Public Identity","dee95d0e-e841-4d4d-8949-02d01046ec95"
"Travis Morgan","Blue Eyes","Deceased Characters","180","1975, November","White Hair","Male Characters","Good Characters","Public Identity","203fcb6c-771d-4205-916b-9fdb03d950af"
"Gorilla Grodd","Grey Eyes","Living Characters","179","1959, May","Black Hair","Male Characters","Bad Characters","Public Identity","983cc61a-5efb-4733-ac63-3956c296a99f"
"Talia al Ghul","Brown Eyes","Deceased Characters","177","1971, May","Brown Hair","Female Characters","Bad Characters","Secret Identity","51f5efca-f48b-4ed0-9463-58ade2f554af"
"Adam Strange","Blue Eyes","Living Characters","177","1958, December","Blond Hair","Male Characters","","Public Identity","ec50ef64-aeb6-4044-b701-18e757367d39"
"Patrick Dugan","Blue Eyes","Living Characters","177","1941, October","Red Hair","Male Characters","Good Characters","Secret Identity","0ea6051e-60e1-4b15-98c3-6261cd7dfb8a"
"Daniel Cassidy","Yellow Eyes","Living Characters","176","1984, June","","Male Characters","Good Characters","Secret Identity","e8ef2d07-27a9-47d2-b1c0-3ce7e626a5de"
"James Harper Clone","Blue Eyes","Living Characters","176","1971, January","Brown Hair","Male Characters","Good Characters","Public Identity","999913d0-6194-4fe5-8917-073ef97ea84d"
"Thomas Kalmaku","Brown Eyes","Living Characters","176","1960, October","Black Hair","Male Characters","Good Characters","Public Identity","b5079bdb-a53c-44f9-acbb-610bfcbdf41d"
"Gabrielle Doe","Blue Eyes","Living Characters","175","1983, July","Blond Hair","Female Characters","Good Characters","Secret Identity","9795be1e-aa58-47b5-a7ca-993f37b6be67"
"Henry Hall","Red Eyes","Living Characters","175","1968, June","Brown Hair","Male Characters","Good Characters","Secret Identity","fdf22254-ccd5-43a3-b37d-7e8c216d8257"
"Connor Hawke","Green Eyes","Living Characters","174","1994, October","Blond Hair","Male Characters","Good Characters","Secret Identity","6d820a53-2c88-453c-bb1a-02193c3c274e"
"Linda Park","Brown Eyes","Living Characters","174","1989, July","Black Hair","Female Characters","","Public Identity","5fa34435-577c-4fcc-a05b-cd37b219248e"
"Cyrus Gold","Black Eyes","Deceased Characters","174","1944, October","White Hair","Male Characters","Bad Characters","Secret Identity","04fd3a53-69c3-4006-81ba-d6a5146a60ec"
"Edward Nashton","Blue Eyes","Living Characters","173","1988, January","Black Hair","Male Characters","Neutral Characters","Public Identity","2ed403b8-51c0-4b87-be6e-15652b05e795"
"Arisia Rrab","Yellow Eyes","Living Characters","173","1981, May","Blond Hair","Female Characters","Good Characters","Public Identity","e04fb619-a9d6-4f5c-a6e0-49353c06e9f0"
"Robert Crane","Red Eyes","Living Characters","171","1942, April","","Male Characters","Good Characters","Secret Identity","0e55e367-4dcf-420d-945b-7ceb2a101fbc"
"Joan Williams","Blue Eyes","Living Characters","171","1940, January","Grey Hair","Female Characters","","Public Identity","c430aed3-7c83-40e5-b665-8b280934e9d4"
"William Magnus","Blue Eyes","Living Characters","170","1962, April","Brown Hair","Male Characters","Good Characters","Public Identity","7b2ff609-5a4b-4ef4-92b9-13d2aa4bfe38"
"Mary Batson","Blue Eyes","Living Characters","168","1995, April","Brown Hair","Female Characters","Good Characters","Secret Identity","4e9798cd-05e8-450b-84b9-1e2c80f983cd"
"Jean Loring","Green Eyes","Deceased Characters","168","1961, October","Black Hair","Female Characters","Bad Characters","Public Identity","edec89ba-554f-4346-88ae-88652fa24108"
"Oberon","Blue Eyes","Living Characters","167","1971, April","White Hair","Male Characters","","Public Identity","74c7ba41-5c72-4037-ab0e-061afcfc5f58"
"Grant Emerson","Blue Eyes","Deceased Characters","166","1994, April","Black Hair","Male Characters","Good Characters","Public Identity","ebe3b047-ad5f-4bb8-b7ea-38c8cccc4cfc"
"Rita Farr","Brown Eyes","Living Characters","166","1963, June","Brown Hair","Female Characters","Good Characters","Secret Identity","277b8177-661a-47d6-8869-142451c63515"
"Jason Rusch","Brown Eyes","Living Characters","165","2004, July","Black Hair","Male Characters","Good Characters","Secret Identity","cc2cd931-a5af-46e5-ac5f-e4935ef226e5"
"Hector Hall","Blue Eyes","Deceased Characters","165","1983, September","White Hair","Male Characters","Good Characters","Secret Identity","e85143cc-94bb-406b-9447-398ffee903f4"
"Mercury","Photocellular Eyes","Living Characters","165","1962, April","","Male Characters","Good Characters","Secret Identity","f458ac51-ee9e-41f3-a86a-5234dd2f13e2"
"Jaime Reyes","Brown Eyes","Living Characters","164","2006, February","Black Hair","Male Characters","Good Characters","Secret Identity","2508ddcb-2256-4bf4-8248-f367c5fcfa87"
"Platinum","Photocellular Eyes","Living Characters","164","1962, April","","Female Characters","Good Characters","Secret Identity","72c68f8e-0d29-4ce0-8546-7e3064c3a310"
"Andre Chavard","","Living Characters","164","1942, June","Brown Hair","Male Characters","Good Characters","Public Identity","cd8833c6-69dd-4ad8-b1bc-6d42ba70dfa9"
"Daniel Leong","Black Eyes","Deceased Characters","164","1942, February","Black Hair","Male Characters","Good Characters","Secret Identity","57a3d422-c19f-4519-9c8f-87bac7a3460d"
"Vril Dox II","Green Eyes","Living Characters","163","1964, February","Blond Hair","Male Characters","Good Characters","Public Identity","7a01ca10-018e-4610-a9e6-f83f911e2044"
"Roy Raymond, Sr.","Blue Eyes","Living Characters","163","1949, November","Brown Hair","Male Characters","Good Characters","Public Identity","00912cc1-3970-4933-a9ad-d11a4455ff9b"
"Uncle Sam","Blue Eyes","Living Characters","162","1940, July","White Hair","Male Characters","","Secret Identity","6c1e32af-c9f6-448e-bcf2-27e8029fc800"
